Date,Close, Open, High, Low, Volume
7/25/2019,150.39,149.82,150.62,148.61,3102113
7/24/2019,150.03,150.12,151.45,149.195,2952435
7/23/2019,150.38,150.57,150.72,148.38,3742204
7/22/2019,149.74,150.16,151.94,149.7,4093239
7/19/2019,149.68,149.96,151.58,149.55,7290678
7/18/2019,149.63,142.5,150.31,142.2,12695390
7/17/2019,143.07,143.61,143.8,141.95,6064265
7/16/2019,143.53,143.17,144.04,143.02,3474688
7/15/2019,143.32,142.89,143.51,142.12,2368309
7/12/2019,142.74,141.92,142.92,141.66,2786276
7/11/2019,141.24,140.79,141.58,140.3,2133327
7/10/2019,140.47,140,141.91,139.79,2513931
7/9/2019,139.33,140.61,140.99,139.13,3365227
7/8/2019,140.57,141.05,141.285,140.27,2395487
7/5/2019,141.38,140.87,141.49,139.91,2135085
7/3/2019,141.54,140.72,141.82,140.43,1930361
7/2/2019,140.22,139.75,140.43,139.47,2410092
7/1/2019,139.88,139.6,141.49,139.28,3387184
6/28/2019,137.9,138.57,139.14,137.84,6154039
6/27/2019,138.52,138.72,139.3,137.95,2149824
6/26/2019,138.52,138.87,139.68,138.4073,2284567
6/25/2019,138.36,139.46,139.55,138.13,2801251
6/24/2019,139.35,139.2,140.15,139.05,2186137
6/21/2019,139.2,138.44,139.54,138.39,5288759
6/20/2019,138.85,138.93,139.54,138.2,3071017
6/19/2019,137.08,136.43,138.36,136.24,2382520
6/18/2019,136.38,135.2,137.19,135.2,2914698
6/17/2019,134.95,135.39,136.03,134.7,2194129
6/14/2019,135.15,135.44,135.88,134.43,2193367
6/13/2019,135.76,135.13,136.27,135.09,2955419
6/12/2019,134.87,135.56,135.94,134.41,2254741
6/11/2019,135.95,135.32,136.46,135.05,3407345
6/10/2019,134.74,134.38,135.3526,133.91,2911327
6/7/2019,133.31,132.47,134.72,132.21,2553398
6/6/2019,132.22,132.19,132.65,130.9,2298248
6/5/2019,131.49,133.38,133.61,130.47,3161584
6/4/2019,132.69,129.56,132.74,129.085,3913535
6/3/2019,128.27,127.1,128.56,127.06,4267080
5/31/2019,126.99,128.44,128.44,126.85,3539343
5/30/2019,129.57,129.74,129.97,128.93,2741880
5/29/2019,129.69,130,130.28,128.32,3678978
5/28/2019,130.46,132.13,132.64,130.27,4909121
5/24/2019,132.28,133.53,134.245,131.59,2596121
5/23/2019,132.39,135.13,135.13,130.44,5343437
5/22/2019,136.35,136,136.75,135.7116,1849821
5/21/2019,136.45,136.12,137.06,135.79,2503504
5/20/2019,135.12,133.53,135.43,132.9308,3264649
5/17/2019,134.32,134.68,135.41,133.94,2619135
5/16/2019,135.88,134.74,136.11,134.64,3017472
5/15/2019,134.4,132.59,134.59,132.37,2551009
5/14/2019,133.31,131.82,134.32,131.68,3280374
5/13/2019,131.42,133.28,133.57,130.96,4958021
5/10/2019,135.32,134.88,135.75,132.42,3977686
5/9/2019,135.34,134.89,135.5848,133.03,4192942
5/8/2019,138,137.77,138.7,137.13,3818909
5/7/2019,137.64,139.15,139.51,136.19,4726771
5/6/2019,140.38,138.3,140.69,137.9,2793655
5/3/2019,140.25,139.7,141,139.63,2580034
5/2/2019,139.59,140.5,141.28,139.41,3541352
5/1/2019,140.56,140.55,141.81,140.17,3053683
4/30/2019,140.27,139.11,140.44,138.68,4195775
4/29/2019,139.05,139.15,139.63,138.81,2764845
4/26/2019,139.44,139.34,139.89,138.81,2319706
4/25/2019,138.63,139.7,139.7482,137.71,2910104
4/24/2019,139.95,140.6,141.31,139.78,2628270
4/23/2019,140.44,139.15,140.92,138.9399,4421083
4/22/2019,138.89,139.42,140.56,138.48,4493876
4/18/2019,140.33,139,140.49,138.7,4827584
4/17/2019,139.11,137.37,141.98,136.26,12513600
4/16/2019,145.14,144.4,145.39,144.02,6234362
4/15/2019,143.9,144.4,144.4597,143.27,3444614
4/12/2019,144.35,144.26,144.44,143.7,2818340
4/11/2019,143.78,143.8,144.11,143.03,2941983
4/10/2019,143.02,142.2,143.495,141.98,2674521
4/9/2019,142.11,142.66,142.95,141.84,3037700
4/8/2019,143.39,143.02,143.42,142.87,2116945
4/5/2019,143.28,143.29,143.5,142.46,2730860
4/4/2019,142.78,143.62,144.14,142.54,2771087
4/3/2019,143.63,143.65,144.22,143.01,2681044
4/2/2019,143,143.35,143.95,142.6,2400493
4/1/2019,143.3,141.51,143.41,141.51,3811916
3/29/2019,141.1,140.5,141.22,140.15,3101419
3/28/2019,139.92,139.91,140.44,139.1,2571619
3/27/2019,139.24,140.41,140.49,138.4,3091432
3/26/2019,140.22,139.93,141.02,139.42,2406340
3/25/2019,139.18,139.06,139.91,138.35,2771582
3/22/2019,139.45,140.97,141.44,138.9,3877002
3/21/2019,141.44,139.1,142.12,138.88,3576952
3/20/2019,139.6,140.53,140.7,138.98,3646608
3/19/2019,140.49,140.96,141.7024,140.002,3454919
3/18/2019,140.21,139.83,140.365,138.72,3267620
3/15/2019,139.43,139.37,140.33,139.23,7153180
3/14/2019,138.79,138.51,138.94,138.06,2738418
3/13/2019,138.56,138.05,139.325,137.85,3168333
3/12/2019,138.28,138.52,139.695,137.86,3954350
3/11/2019,137.71,136.03,137.73,135.84,3935904
3/8/2019,135.09,134.21,135.24,133.58,3773562
3/7/2019,135.36,136.61,136.89,134.6343,4358264
3/6/2019,136.98,138.12,138.3892,136.72,2768250
3/5/2019,137.88,138.37,138.74,137.555,4196775
3/4/2019,138.43,139.99,140.08,137.17,3404089
3/1/2019,139.2,139.31,140.04,138.64,2979597
2/28/2019,138.13,138.77,139.055,137.72,3450137
2/27/2019,139.17,139.25,139.57,138.4007,2530848
2/26/2019,139.72,139.67,140.49,139.47,3059551
2/25/2019,139.46,140,140.47,139.32,3193627
2/22/2019,139.25,138.73,139.38,138.43,3111900
2/21/2019,137.84,137.82,138.35,137.35,2937236
2/20/2019,138,138.76,139.24,137.2203,3801087
2/19/2019,138.7,137.81,138.7,137.36,3383978
2/15/2019,138.03,137.58,138.185,137.385,3843467
2/14/2019,136.48,137.17,137.6019,136.21,2789396
2/13/2019,137.52,136.92,137.92,136.41,4252066
2/12/2019,136.05,135.15,136.2,134.86,3313222
2/11/2019,133.99,134.29,135.15,133.91,3095030
2/8/2019,133.71,132.34,133.71,132.19,3156272
2/7/2019,133.19,133.55,134.47,132.12,4372136
2/6/2019,136.32,135.22,136.65,135.17,4876834
2/5/2019,135.55,135.28,135.82,134.92,5396802
2/4/2019,135.19,134.02,135.2,132.99,3954689
2/1/2019,134.1,134.97,135.2,133.35,3802091
1/31/2019,134.42,134.45,134.716,133.74,4880772
1/30/2019,134.38,134,135.03,133.25,4488827
1/29/2019,134.33,134.29,135.4149,133.6,5034563
1/28/2019,134.27,133.1,134.805,132.58,5124522
1/25/2019,133.97,132.87,134.44,132.43,5707375
1/24/2019,132.53,132.63,133.2054,131.43,6310355
1/23/2019,132.89,131.37,135,130.31,22051560
1/22/2019,122.52,123.3,123.8,121.54,9734454
1/18/2019,123.82,123.27,124.7175,122.71,6004928
1/17/2019,122.19,120.56,122.4085,120.55,5014762
1/16/2019,121.62,121.58,122,120.83,3789197
1/15/2019,121.73,120.96,121.93,120.82,3507503
1/14/2019,120.39,120.51,120.6548,119.7607,5217705
1/11/2019,121.46,121.58,121.615,120.2,3664065
1/10/2019,121.79,120.08,121.86,119.95,3837848
1/9/2019,120.69,120.91,121.4,119.87,3619359
1/8/2019,119.83,119.66,120.57,118.98,4700622
1/7/2019,118.15,117.5,118.83,116.67,3732918
1/4/2019,117.32,114.91,117.49,114.44,4430160
1/3/2019,112.91,114.53,114.88,112.69,4154119
1/2/2019,115.21,112.01,115.98,111.69,4233847
12/31/2018,113.67,113.33,114.35,112.4201,4981706
12/28/2018,113.03,114.22,114.8,112.5,5116291
12/27/2018,113.78,109.99,113.78,109.4699,5839611
12/26/2018,111.39,108,111.39,105.94,6593685
12/24/2018,107.57,109.9,111,107.5,3821376
12/21/2018,110.94,112.5,115.28,110.44,10371780
12/20/2018,113.02,115.7,116.45,111.7,8393880
12/19/2018,116.43,117.15,120.27,115.97,6912152
12/18/2018,116.65,116.9,118.23,116.02,6161819
12/17/2018,116.1,119.07,119.78,115.07,7332780
12/14/2018,119.9,119.5,121.11,119.44,4552052
12/13/2018,120.73,121.26,121.79,120.17,3913588
12/12/2018,121.16,122.51,122.88,121,3560423
12/11/2018,120.89,123.25,123.81,120,4806171
12/10/2018,121.13,119.74,121.6822,118.52,6545975
12/7/2018,119.34,123.9,124.05,118.87,6946644
12/6/2018,123.91,119.72,123.91,119.301,6917204
12/4/2018,121.6,124.49,124.92,121.33,5732774
12/3/2018,125.31,125.67,126.59,124.36,5764562
11/30/2018,124.27,121.66,124.69,121.48,7250091
11/29/2018,121.48,122.44,123.1208,121.4,5083509
11/28/2018,123,121.01,123.09,120.22,5103750
11/27/2018,120.03,118.38,120.04,118.37,4902206
11/26/2018,119.56,118.37,120.25,118.06,4983724
11/23/2018,117.19,118.09,118.3382,116.91,2334730
11/21/2018,118.57,117.61,119.51,117.39,5333589
11/20/2018,117.2,118.49,119.49,116.6955,6232010
11/19/2018,120.31,121.63,122.18,119.77,4129149
11/16/2018,121.57,120.89,121.85,120.5405,4076283
11/15/2018,121.44,119.66,121.44,119.51,5203470
11/14/2018,120.2,121.11,121.93,119.77,4753027
11/13/2018,120.84,121.19,122.2505,119.9,4058494
11/12/2018,120.9,123.5,123.57,120.65,5374419
11/9/2018,123.54,123.61,124.57,121.96,6961728
11/8/2018,123.38,122.66,124.404,122.63,10392940
11/7/2018,124.84,123.79,125.06,122.33,12371100
11/6/2018,123.12,120.7,123.81,120.31,9593084
11/5/2018,120.06,116.1,120.77,116,9127909
11/2/2018,115.67,117.51,117.75,114.5384,10507760
11/1/2018,116.83,115.5,117,115.11,13619520
10/31/2018,115.43,116.49,116.5,114.09,21631840
10/30/2018,115.4,120.48,121.5,115.15,21412910
10/29/2018,119.64,119.34,123.95,118.3,20130510
10/26/2018,124.79,125.21,125.78,123.71,8758967
10/25/2018,126.45,127.25,127.79,125.14,10269570
10/24/2018,127.21,131.17,131.69,127,5646273
10/23/2018,131.21,129.02,131.9,128.41,6461726
10/22/2018,130.02,129.58,130.4379,128.4,5629672
10/19/2018,129.1,130.65,131.89,127.96,7720795
10/18/2018,130.55,132.73,133.4,130.04,9989208
10/17/2018,134.05,135.89,137.15,133.4193,18961040
10/16/2018,145.12,142.93,145.45,141.58,8573985
10/15/2018,141.13,140.38,142.26,140.14,4611820
10/12/2018,140.85,141.12,141.54,139.08,6391828
10/11/2018,139.02,142.62,144.19,138.78,8702607
10/10/2018,142.69,147.5,147.69,142.5,5272862
10/9/2018,147.24,148.08,148.36,146.93,3641387
10/8/2018,148.39,148.5,149.07,147.18,3229339
10/5/2018,149.03,150.9,151.79,147.87,4602216
10/4/2018,151.31,151.69,152.8,150.36,4237519
10/3/2018,153.22,154,154.36,152.8,3315292
10/2/2018,153.75,152.99,153.84,152.5,3025052
10/1/2018,153,151.71,153.42,151.71,3737903
9/28/2018,151.21,151.16,151.625,150.79,3305324
9/27/2018,151.5,152.01,152.3888,151.16,3475431
9/26/2018,151.61,152.4,153.35,151.34,7147572
9/25/2018,148.91,149.91,150.41,148.36,4030483
9/24/2018,150.03,151.1,151.2,149.46,4215756
9/21/2018,151.35,151.48,152.6,150.74,19847660
9/20/2018,151.15,149.58,151.38,149.44,5822864
9/19/2018,149.06,148.63,149.9599,148.23,4246174
9/18/2018,148.56,147.76,148.985,147.47,3413076
9/17/2018,147.94,148.44,149.07,147.77,3307740
9/14/2018,148.33,148.85,149.3,147.78,3240966
9/13/2018,148.95,147.35,149,147.1179,5150862
9/12/2018,146.57,146.37,147.98,146.03,4490979
9/11/2018,146.49,146,146.99,145.25,3374678
9/10/2018,145.65,146.6,147.3,145.56,3335742
9/7/2018,145.45,145.94,146.5031,145.12,4453753
9/6/2018,146.39,146.88,147.66,145.54,4248781
9/5/2018,146.66,145.19,146.75,145.05,3107991
9/4/2018,145.68,145.98,146.19,144.81,3090177
8/31/2018,146.48,145.72,146.78,145.5401,3436359
8/30/2018,145.93,147.03,147.3,145.25,3338329
8/29/2018,147.54,146.87,147.93,146.6,2699766
8/28/2018,146.59,146.95,146.99,146.19,2449441
8/27/2018,146.69,146.94,147.62,146.52,3026798
8/24/2018,146.04,145.46,146.0869,144.87,2727395
8/23/2018,145.37,145.04,145.52,144.75,2220427
8/22/2018,145.24,146.01,146.16,145.19,2246709
8/21/2018,145.97,147,147.12,145.89,2813028
8/20/2018,146.51,146.37,147.16,146.15,2499398
8/17/2018,146.06,144.79,146.39,144.69,2678645
8/16/2018,145.34,144.37,145.68,144.37,5250704
8/15/2018,143.91,142.55,144,142,4240961
8/14/2018,143.36,143,143.82,142.93,2860006
8/13/2018,142.71,144.15,144.3,142.53,2858415
8/10/2018,144.48,144.5,145.07,143.88,3001883
8/9/2018,144.77,145.53,145.94,144.73,3093453
8/8/2018,146.89,147.33,147.43,146.24,3580415
8/7/2018,147.01,146.65,147.64,146.35,3505622
8/6/2018,146.03,146.95,147.2,145.57,3912466
8/3/2018,147.7,143.24,147.92,143,8053092
8/2/2018,142.96,142.86,143.36,142.33,3836238
8/1/2018,143.5,144.76,145.19,143.34,3387120
7/31/2018,144.93,145.74,145.8,144.159,5473146
7/30/2018,145.49,144.8,146.24,144.69,3450004
7/27/2018,145.15,146.89,147.14,144.66,3749286
7/26/2018,146.71,147.43,149.27,146.63,4776629
7/25/2018,146.62,146.01,146.65,145.5,3628272
7/24/2018,146.38,146.7,147.04,145.92,3891462
7/23/2018,145.7,146.35,146.7,145.015,3767643
7/20/2018,146.35,148.58,148.86,146.26,6411644
7/19/2018,149.24,147.85,150.54,147.25,14536290
7/18/2018,144.52,143.51,144.8,142.7351,6651091
7/17/2018,143.49,144.75,145,143.34,5087700
7/16/2018,145.46,145.67,145.79,144.21,3463840
7/13/2018,145.9,146.45,146.9799,145.8,3062531
7/12/2018,146.45,145.85,146.83,145.74,3096255
7/11/2018,144.94,144,146.19,144,3466858
7/10/2018,144.71,144.51,145.59,144.255,3721923
7/9/2018,144.39,142.59,144.72,142.47,3840834
7/6/2018,142.48,141.53,142.94,141.17,2910426
7/5/2018,141.43,140.48,141.43,139.93,3684736
7/3/2018,139.57,140.65,140.94,139.3678,1963232
7/2/2018,139.86,138.28,140.22,138.2,3404522
6/29/2018,139.7,140.32,141.359,139.61,3709514
6/28/2018,140.04,138.1,140.54,137.945,4523146
6/27/2018,137.48,139.11,139.78,137.45,4097173
6/26/2018,139.08,139.36,139.8499,138.33,4132936
6/25/2018,138.79,140.4,140.4,138.28,8936500
6/22/2018,141.28,141.64,141.81,140.78,5978837
6/21/2018,141.25,142.59,143.14,140.83,3719842
6/20/2018,142.63,144.22,144.52,142.41,3327016
6/19/2018,143.9,143.12,144.22,142.95,3480989
6/18/2018,144.48,144.18,144.52,143.14,3955267
6/15/2018,145.39,144.9,145.47,143.7,9101344
6/14/2018,145.2,146.65,146.98,145.09,3278242
6/13/2018,146.35,146.79,147.47,146.2,2636788
6/12/2018,146.87,147.1,147.52,146.62,2640091
6/11/2018,146.58,146.62,147.41,146.14,3187860
6/8/2018,146.14,145,146.43,144.37,5059360
6/7/2018,145.36,145,146.7,144.93,4263362
6/6/2018,144.71,144.34,144.72,143.54,3220131
6/5/2018,143.7,143.05,144.08,143.04,2824323
6/4/2018,143.04,142.3,143.17,142.18,3032513
6/1/2018,141.95,142.43,142.84,141.62,3854463
5/31/2018,141.31,142.81,142.81,141.05,6828045
5/30/2018,142.62,141.9,143.1,141.82,5109028
5/29/2018,141.22,142.53,142.89,140.21,4533961
5/25/2018,143.64,143.9,144.57,143.46,4914174
5/24/2018,144.07,144.39,144.48,142.95,3398444
5/23/2018,144.67,144.35,144.7,143.48,3456319
5/22/2018,145.09,145.52,146.204,145,2284010
5/21/2018,145.49,144.95,146.04,144.68,2892683
5/18/2018,144.08,144.47,144.94,143.99,2677403
5/17/2018,144.5,144.5,145.19,143.77,3147105
5/16/2018,144.63,143.7,145.0275,143.27,3168454
5/15/2018,143.74,143.5,143.99,142.92,4088765
5/14/2018,144.3,144.47,145.12,144.14,3214837
5/11/2018,144.14,144.11,144.85,143.58,3073144
5/10/2018,144.24,143.15,144.33,143.01,3726223
5/9/2018,142.61,141.9,143.02,141.28,4190305
5/8/2018,143,143,143.507,142.06,5365087
5/7/2018,143.22,144,144.32,142.6403,3659906
5/4/2018,143.91,141.1,144.35,140.28,4400297
5/3/2018,141.99,142.13,142.23,139.9,5016580
5/2/2018,142.45,144.46,144.82,142.07,5193157
5/1/2018,145,144.65,145.02,143.47,4430144
4/30/2018,144.96,146.86,147.38,144.96,4410906
4/27/2018,146.48,146.84,147.25,145.66,3200337
4/26/2018,146.72,146.6,147.36,146.2,4251898
4/25/2018,145.94,145.79,146.4,144.111,7322583
4/24/2018,145.56,146.51,147.3,144.53,4915483
4/23/2018,145.86,145.03,145.96,144.33,5312680
4/20/2018,144.9,147.9,147.97,144.51,8262089
4/19/2018,147.7,149.19,149.2072,146.62,8066949
4/18/2018,148.79,152.14,152.63,148.26,20366390
4/17/2018,160.91,158.82,162,158.51,10030300
4/16/2018,157.89,157.99,159.14,157.67,4183034
4/13/2018,156.71,158.67,159.22,155.91,3886410
4/12/2018,158.07,156.75,158.98,156.67,5632531
4/11/2018,155.36,154.37,155.78,153.88,3209656
4/10/2018,155.39,155.03,156.605,154.75,3834517
4/9/2018,152.69,151.8,154.66,151.7433,4410622
4/6/2018,150.57,153.46,153.95,149.54,3672651
4/5/2018,154.03,154.44,154.92,153.34,3170798
4/4/2018,154.12,147.89,154.47,147.45,4801403
4/3/2018,149.85,150.8,151,148.3,4134866
4/2/2018,150.07,153.34,153.38,148.43,5136191
3/29/2018,153.43,153.07,153.89,151.08,3419328
3/28/2018,152.52,152.07,153.86,151.89,3664480
3/27/2018,151.91,153.95,154.8697,151.16,3875906
3/26/2018,153.37,151.21,153.657,150.28,4102976
3/23/2018,148.89,152.25,152.58,148.541,4427791
3/22/2018,152.09,155,155.2499,152,4739788
3/21/2018,156.69,156.57,158.2,155.92,3481845
3/20/2018,156.2,157.52,157.93,155.29,4335687
3/19/2018,157.35,159.71,159.8899,156.45,5454834
3/16/2018,160.26,160.06,161.98,159.64,9206814
3/15/2018,159.61,158.71,161.25,158.52,3863182
3/14/2018,158.12,160.17,160.68,157.74,3630206
3/13/2018,159.32,160.09,162.1122,158.81,4124286
3/12/2018,160.26,159.64,161.02,158.87,5061463
3/9/2018,159.31,157.47,159.5825,157.3,5019427
3/8/2018,156.21,159,159.57,155.07,6391534
3/7/2018,158.32,155,158.83,154.73,4312067
3/6/2018,155.72,157.28,157.89,155.1568,3592913
3/5/2018,156.95,154.12,157.49,153.75,3670382
3/2/2018,154.49,152.79,154.76,151.88,3260903
3/1/2018,153.81,155.53,156.9742,152.79,4037578
2/28/2018,155.83,157.5,158.1399,155.8,3793433
2/27/2018,156.55,158.46,159.78,156.53,4233110
2/26/2018,158.58,155.81,158.88,155.51,3598083
2/23/2018,155.52,154.3,155.855,154.07,3251395
2/22/2018,153.18,154.5,155.04,152.79,4019720
2/21/2018,153.96,155.43,156.79,153.9,3724635
2/20/2018,155.16,155.79,155.96,153.87,4482762
2/16/2018,156.18,155.71,157.7905,155.69,4253815
2/15/2018,156.01,155.5,156.86,153.7,5527366
2/14/2018,154.76,150.19,155,150,5474399
2/13/2018,150.75,150.9,151.179,149.64,4865333
2/12/2018,151.4,150.9,152.4,150.3,5839248
2/9/2018,149.51,148.6,150.54,144.3955,7783434
2/8/2018,147.59,152.48,153.16,147.5,6765434
2/7/2018,153.85,154.17,155.34,153.28,6138776
2/6/2018,155.34,150.29,155.49,149.11,9854125
2/5/2018,152.53,157.89,158.5,150,8674946
2/2/2018,159.03,161.7,162,158.8663,5228394
2/1/2018,162.4,163.19,164.13,161.9,4431977
1/31/2018,163.7,163.75,164.99,162.761,4072020
1/30/2018,163.62,166.21,166.77,163.155,4901284
1/29/2018,166.8,167.45,168.39,166.01,3514482
1/26/2018,167.34,166.12,167.4142,165.79,3772739
1/25/2018,165.47,165.91,166.78,165.19,3300971
1/24/2018,165.37,166.75,168.72,164.82,5557156
1/23/2018,166.25,162.82,166.26,162.51,7460921
1/22/2018,162.6,161.51,163.98,161.11,8456949
1/19/2018,162.37,164.46,165.4,161.3,21086490
1/18/2018,169.12,170,171.13,168.15,13427660
1/17/2018,168.65,168.01,169.1253,167.26,11671060
1/16/2018,163.85,165.1,165.29,163.35,7589422
1/12/2018,163.14,164.02,164.74,163.03,5026753
1/11/2018,164.2,164.8,164.94,163.3,3791309
1/10/2018,164.18,162.91,164.33,162.5,4168553
1/9/2018,163.83,163.9,164.53,163.06,4338857
1/8/2018,163.47,162.66,163.905,161.701,5236536
1/5/2018,162.49,162.44,162.9,161.101,5179851
1/4/2018,161.7,159.65,162.3237,159.37,7554257
1/3/2018,158.49,157.34,159.81,156.33,9440508
1/2/2018,154.25,154.5,154.81,153.54,4197812
12/29/2017,153.42,154.17,154.72,153.415,3324662
12/28/2017,154.04,153.2,154.12,153.2,2686841
12/27/2017,153.13,152.95,153.18,152.61,2144620
12/26/2017,152.83,152.51,153.86,152.5,2478972
